Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Sector,Full Name,Activity,DocumentTitle,IssueISIN,SEDOL,TickerSymbol,IssuerOAPermID,FundClassLipperID,CUSIP
Bharat Electronics,IN:BHE,BAJE.NS,20/09/1993,1993,Equities,National India,India,Indian Rupee,Equity,Aerospace and Defense,Bharat Electronics,Active,"Bharat Electronics Ltd, Ordinary Share, National Stock Exchange of India",INE263A01024,,BEL,4295873541.0,,
Zen Technologies,IN:ZNT,ZETE.NS,28/10/2004,2004,Equities,National India,India,Indian Rupee,Equity,Aerospace and Defense,Zen Technologies,Active,"Zen Technologies Ltd, Ordinary Share, National Stock Exchange of India",INE251B01027,,ZENTEC,4295872590.0,,
Suzlon Energy,IN:SZE,SUZL.NS,18/10/2005,2005,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Suzlon Energy,Active,"Suzlon Energy Ltd, Ordinary Share, National Stock Exchange of India",INE040H01021,,SUZLON,4295872718.0,,
Websol Energy Systems,IN:WRS,WESL.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Websol Energy Systems,Active,"Websol Energy System Ltd, Ordinary Share, National Stock Exchange of India",INE855C01023,,WEBELSOLAR,4295872474.0,,
Swelect Energy Systems,IN:NPS,SWEL.NS,01/03/2004,2004,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Swelect Energy Systems,Active,"Swelect Energy Systems Ltd, Ordinary Share, National Stock Exchange of India",INE409B01013,,SWELECTES,4295872355.0,,
Steel Strips Wheels,IN:SW,STWH.NS,31/03/1995,1995,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Steel Strips Wheels,Active,"Steel Strips Wheels Ltd, Ordinary Share, National Stock Exchange of India",INE802C01033,,SSWL,4295872393.0,,
The Bombay Burmah Trading Corporation,IN:BOB,BBRM.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,The Bombay Burmah Trading Corporation,Active,"Bombay Burmah Trading Corporation, Ltd, Ordinary Share, National Stock Exchange of India",INE050A01025,,BBTC,4295874343.0,,
Asahi India Glass,IN:AIG,AISG.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Asahi India Glass,Active,"Asahi India Glass Ltd, Ordinary Share, National Stock Exchange of India",INE439A01020,,ASAHIINDIA,4295872532.0,,
Subros,IN:ROS,SUBR.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Subros,Active,"Subros Ltd, Ordinary Share, National Stock Exchange of India",INE287B01021,,SUBROS,4295873002.0,,
Lumax Industries,IN:LXI,LUMA.NS,02/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Lumax Industries,Active,"Lumax Industries Ltd, Ordinary Share, National Stock Exchange of India",INE162B01018,,LUMAXIND,4295873308.0,,
Samvardhana Motherson International,IN:MSY,SAMD.NS,09/09/1993,1993,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Samvardhana Motherson International,Active,"Samvardhana Motherson International Ltd, Ordinary Share, National Stock Exchange of India",INE775A01035,,MOTHERSON,4295872161.0,,
Rico Auto Industries,IN:RAU,RAUT.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Rico Auto Industries,Active,"Rico Auto Industries Ltd, Ordinary Share, National Stock Exchange of India",INE209B01025,,RICOAUTO,4295872520.0,,
Omax Autos,IN:OXA,OMXA.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Omax Autos,Active,"Omax Autos Ltd, Ordinary Share, National Stock Exchange of India",INE090B01011,,OMAXAUTO,4295873001.0,,
Banco Products India,IN:BNP,BNCO.NS,01/12/1993,1993,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Banco Products India,Active,"Banco Products (India) Ltd, Ordinary Share, National Stock Exchange of India",INE213C01025,,BANCOINDIA,4295874073.0,,
Munjal Showa,IN:MJS,MNJL.NS,02/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Munjal Showa,Active,"Munjal Showa Ltd, Ordinary Share, National Stock Exchange of India",INE577A01027,,MUNJALSHOW,4295872291.0,,
Jamna Auto Industries,IN:JAM,JMNA.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Jamna Auto Industries,Active,"Jamna Auto Industries Ltd, Ordinary Share, National Stock Exchange of India",INE039C01032,,JAMNAAUTO,4295873628.0,,
TVS Holdings,IN:SUC,TVSH.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,TVS Holdings,Active,"TVS Holdings Ltd, Ordinary Share, National Stock Exchange of India",INE105A01035,,TVSHLTD,4295872721.0,,
Munjal Auto Industries,IN:GYC,MUAU.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Munjal Auto Industries,Active,"Munjal Auto Industries Ltd, Ordinary Share, National Stock Exchange of India",INE672B01032,,MUNJALAU,4295872305.0,,
Jay Bharat Maruti,IN:JBR,JYBM.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Jay Bharat Maruti,Active,"Jay Bharat Maruti Ltd, Ordinary Share, National Stock Exchange of India",INE571B01036,,JAYBARMARU,4295873702.0,,
MRF,IN:MR,MRF.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,MRF,Active,"MRF Ltd, Ordinary Share, National Stock Exchange of India",INE883A01011,,MRF,4295872981.0,,
Racl Gearte,IN:RQA,RACG.NS,31/03/1992,1992,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Racl Gearte,Active,"RACL Geartech Ltd, Ordinary Share, National Stock Exchange of India",INE704B01017,,RACLGEAR,4295872867.0,,
Ucal,IN:UFS,UCAI.NS,13/07/1993,1993,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Ucal,Active,"UCAL Ltd, Ordinary Share, National Stock Exchange of India",INE139B01016,,UCAL,4295873049.0,,
Hi-Tech Gears,IN:HG,HTGR.NS,18/01/1994,1994,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Hi-Tech Gears,Active,"Hi-Tech Gears Ltd, Ordinary Share, National Stock Exchange of India",INE127B01011,,HITECHGEAR,4295872401.0,,
Bharat Seats,IN:BRE,BSTS.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Bharat Seats,Active,"Bharat Seats Ltd, Ordinary Share, National Stock Exchange of India",INE415D01024,,BHARATSE,4295873170.0,,
Balkrishna Industries,IN:BKS,BLKI.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Balkrishna Industries,Active,"Balkrishna Industries Ltd, Ordinary Share, National Stock Exchange of India",INE787D01026,,BALKRISIND,4295873290.0,,
Menon Bearings,IN:MBG,MENO.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Menon Bearings,Active,"Menon Bearings Ltd, Ordinary Share, National Stock Exchange of India",INE071D01033,,MENONBE,4295872870.0,,
Pricol,IN:PMR,PRCO.NS,01/12/1993,1993,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Pricol,Active,"Pricol Ltd, Ordinary Share, National Stock Exchange of India",INE726V01018,,PRICOLLTD,5036200895.0,,
SKF India,IN:SKB,SKFB.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,SKF India,Active,"SKF India Ltd, Ordinary Share, National Stock Exchange of India",INE640A01023,,SKFINDIA,4295872278.0,,
Automotive Axles,IN:AAX,ATOA.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Automotive Axles,Active,"Automotive Axles Ltd, Ordinary Share, National Stock Exchange of India",INE449A01011,,AUTOAXLES,4295872776.0,,
Maharashtra Scooters,IN:MAH,MHSC.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Maharashtra Scooters,Active,"Maharashtra Scooters Ltd, Ordinary Share, National Stock Exchange of India",INE288A01013,,MAHSCOOTER,4295874245.0,,
Talbros Automotive Components,IN:TBA,TALB.NS,02/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Talbros Automotive Components,Active,"Talbros Automotive Components Ltd, Ordinary Share, National Stock Exchange of India",INE187D01029,,TALBROAUTO,4295872149.0,,
Mahindra and Mahindra,IN:MAM,MAHM.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Mahindra and Mahindra,Active,"Mahindra and Mahindra Ltd, Ordinary Share, National Stock Exchange of India",INE101A01026,,M&M,4295872671.0,,
Bosch,IN:BOH,BOSH.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Bosch,Active,"Bosch Ltd, Ordinary Share, National Stock Exchange of India",INE323A01026,,BOSCHLTD,4295873146.0,,
Bharat Gears,IN:BGR,BGRS.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Bharat Gears,Active,"Bharat Gears Ltd, Ordinary Share, National Stock Exchange of India",INE561C01019,,BHARATGEAR,4295873351.0,,
Gabriel India,IN:GAB,GABR.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Gabriel India,Active,"Gabriel India Ltd, Ordinary Share, National Stock Exchange of India",INE524A01029,,GABRIEL,4295872637.0,,
Federal-Mogul Goetze (India),IN:GOE,FEDM.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Federal-Mogul Goetze (India),Active,"Federal-Mogul Goetze (India) Ltd, Ordinary Share, National Stock Exchange of India",INE529A01010,,FMGOETZE,4295873344.0,,
Rane Holdings,IN:RNE,RANE.NS,18/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Rane Holdings,Active,"Rane Holdings Ltd, Ordinary Share, National Stock Exchange of India",INE384A01010,,RANEHOLDIN,4295873120.0,,
Lakshmi Precision Screws,IN:LPS,LXPR.NS,13/07/1993,1993,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Lakshmi Precision Screws,Active,"Lakshmi Precision Screws Ltd, Ordinary Share, National Stock Exchange of India",INE651C01018,,LAKPRE,4295874256.0,,
Ceat,IN:EAT,CEAT.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Ceat,Active,"CEAT Ltd, Ordinary Share, National Stock Exchange of India",INE482A01020,,CEATLTD,4295873142.0,,
Elgi Rubber,IN:ETT,ELGT.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Elgi Rubber,Active,"ELGI Rubber Co Ltd, Ordinary Share, National Stock Exchange of India",INE819L01012,B3THZX0,ELGIRUBCO,4295873362.0,,
PTL Enterprises,IN:PTY,PTLE.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,PTL Enterprises,Active,"PTL Enterprises Ltd, Ordinary Share, National Stock Exchange of India",INE034D01049,,PTL,4295872428.0,,
TVS Srichakra,IN:TSR,TVSC.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,TVS Srichakra,Active,"TVS Srichakra Ltd, Ordinary Share, National Stock Exchange of India",INE421C01016,,TVSSRICHAK,4295872620.0,,
Hindustan Composites,IN:HC,HFRD.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Hindustan Composites,Active,"Hindustan Composites Ltd, Ordinary Share, National Stock Exchange of India",INE310C01029,,HINDCOMPOS,4295873834.0,,
Igarashi Motors India,IN:IGM,IGAM.NS,24/03/1994,1994,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Igarashi Motors India,Active,"Igarashi Motors India Ltd, Ordinary Share, National Stock Exchange of India",INE188B01013,,IGARASHI,4295872655.0,,
Automotive Stampings and Assemblies,IN:JBM,ASAS.NS,03/04/1995,1995,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Automotive Stampings and Assemblies,Active,"Automotive Stampings and Assemblies Ltd, Ordinary Share, National Stock Exchange of India",INE900C01027,,ASAL,4295873759.0,,
Maruti Suzuki India,IN:MUD,MRTI.NS,09/07/2003,2003,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Maruti Suzuki India,Active,"Maruti Suzuki India Ltd, Ordinary Share, National Stock Exchange of India",INE585B01010,,MARUTI,4295872801.0,,
India Nippon Electricals,IN:INZ,INEL.NS,03/11/1998,1998,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,India Nippon Electricals,Active,"India Nippon Electricals Ltd, Ordinary Share, National Stock Exchange of India",INE092B01025,,INDNIPPON,4295872652.0,,
Sundram Fasteners,IN:SMF,SNFS.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Sundram Fasteners,Active,"Sundram Fasteners Ltd, Ordinary Share, National Stock Exchange of India",INE387A01021,,SUNDRMFAST,4295872679.0,,
Schaeffler India,IN:FAG,SCHE.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Schaeffler India,Active,"Schaeffler India Ltd, Ordinary Share, National Stock Exchange of India",INE513A01022,,SCHAEFFLER,4295872861.0,,
Apollo Tyres,IN:APP,APLO.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Apollo Tyres,Active,"Apollo Tyres Ltd, Ordinary Share, National Stock Exchange of India",INE438A01022,,APOLLOTYRE,4295873299.0,,
Suprajit Engineering,IN:SJE,SUPE.NS,01/03/2004,2004,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Suprajit Engineering,Active,"Suprajit Engineering Ltd, Ordinary Share, National Stock Exchange of India",INE399C01030,,SUPRAJIT,4295873374.0,,
India Motor PAS and Accessories,IN:IIA,IMPA.NS,07/10/2005,2005,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,India Motor PAS and Accessories,Active,"India Motor Parts & Accessories Ltd, Ordinary Share, National Stock Exchange of India",INE547E01014,B0M0VX7,IMPAL,4295873591.0,,
Alicon Castalloy,IN:ENK,ALIO.NS,24/12/2004,2004,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Alicon Castalloy,Active,"Alicon Castalloy Ltd, Ordinary Share, National Stock Exchange of India",INE062D01024,,ALICON,4295874168.0,,
Sundaram Brake Linings,IN:SMB,SBKL.NS,27/11/1998,1998,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Sundaram Brake Linings,Active,"Sundaram Brake Linings Ltd, Ordinary Share, National Stock Exchange of India",INE073D01013,B15CY50,SUNDRMBRAK,4295872658.0,,
GRP,IN:GRP,GRPI.NS,17/11/2004,2004,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,GRP,Active,"GRP Ltd, Ordinary Share, National Stock Exchange of India",INE137I01015,,GRPLTD,4295873534.0,,
UNO Minda,IN:MD1,UNOI.NS,24/08/2004,2004,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,UNO Minda,Active,"UNO Minda Ltd, Ordinary Share, National Stock Exchange of India",INE405E01023,,UNOMINDA,4295873282.0,,
Remsons Industries,IN:RSO,REIN.NS,12/04/2002,2002,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Remsons Industries,Active,"Remsons Industries Ltd, Ordinary Share, National Stock Exchange of India",INE474C01023,BT3MTY2,REMSONSIND,4295872256.0,,
JBM Auto Limited,IN:JML,JBMA.NS,17/12/2004,2004,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,JBM Auto Limited,Active,"JBM Auto Ltd, Ordinary Share, National Stock Exchange of India",INE927D01051,BM8H5S9,JBMA,4295872940.0,,
Atul Auto,IN:UUL,ATUL.NS,14/03/2005,2005,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Atul Auto,Active,"Atul Auto Ltd, Ordinary Share, National Stock Exchange of India",INE951D01028,,ATULAUTO,4295873222.0,,
J K Tyre and Industries,IN:JKI,JKIN.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,J K Tyre and Industries,Active,"JK Tyre & Industries Ltd, Ordinary Share, National Stock Exchange of India",INE573A01042,,JKTYRE,4295872965.0,,
Jtekt India,IN:SKM,JTEK.NS,01/04/1991,1991,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Jtekt India,Active,"JTEKT India Ltd, Ordinary Share, National Stock Exchange of India",INE643A01035,,JTEKTINDIA,4295872786.0,,
Hindustan Motors,IN:HDM,HMTR.NS^J25,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Hindustan Motors,Active,"Hindustan Motors Ord Shs, Ordinary Share, Delisted, National Stock Exchange of India",INE253A01025,,HINDMOTORS,4295873791.0,,
Modi Rubber,IN:MDR,MODI.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Modi Rubber,Active,"Modi Rubber Ltd, Ordinary Share, National Stock Exchange of India",INE832A01018,,MODIRUBBER,4295873148.0,,
Tata Motors Passenger Vehicles,IN:TMO,TAMO.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Tata Motors Passenger Vehicles,Active,"Tata Motors Passenger Vehicles Ltd, Ordinary Share, National Stock Exchange of India",INE155A01022,,TMPV,4295872696.0,,
Rane (Madras),IN:MRR,RAMD.NS,30/08/2005,2005,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Rane (Madras),Active,"Rane (Madras) Ltd, Ordinary Share, National Stock Exchange of India",INE050H01012,,RML,5000008169.0,,
Wheels India,IN:WIN,WHEL.NS,26/11/1998,1998,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Wheels India,Active,"Wheels India Ltd, Ordinary Share, National Stock Exchange of India",INE715A01015,B038VD0,WHEELS,4295872582.0,,
L G Balakrisnan and Brothers,IN:LGB,LGB.NS,11/12/1995,1995,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,L G Balakrisnan and Brothers,Active,"LG Balakrishnan & Bros Ltd, Ordinary Share, National Stock Exchange of India",INE337A01034,,LGBBROSLTD,4295872417.0,,
Kotak Mahindra Bank,IN:KOK,KTKM.NS,13/04/1992,1992,Equities,National India,India,Indian Rupee,Equity,Banks,Kotak Mahindra Bank,Active,"Kotak Mahindra Bank Ltd, Ordinary Share, National Stock Exchange of India",INE237A01028,,KOTAKBANK,4295872395.0,,
State Bank of India,IN:SBK,SBI.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Banks,State Bank of India,Active,"State Bank of India, Ordinary Share, National Stock Exchange of India",INE062A01020,,SBIN,4295873809.0,,
Federal Bank,IN:FED,FED.NS,03/06/1994,1994,Equities,National India,India,Indian Rupee,Equity,Banks,Federal Bank,Active,"Federal Bank Ltd, Ordinary Share, National Stock Exchange of India",INE171A01029,,FEDERALBNK,4295872685.0,,
Punjab National Bank,IN:PUJ,PNBK.NS,26/04/2002,2002,Equities,National India,India,Indian Rupee,Equity,Banks,Punjab National Bank,Active,"Punjab National Bank, Ordinary Share, National Stock Exchange of India",INE160A01022,BTDV035,PNB,4295872752.0,,
Karur Vysya Bank,IN:KVY,KARU.NS,15/05/1995,1995,Equities,National India,India,Indian Rupee,Equity,Banks,Karur Vysya Bank,Active,"Karur Vysya Bank Ltd, Ordinary Share, National Stock Exchange of India",INE036D01028,,KARURVYSYA,4295873708.0,,
Karnataka Bank,IN:KAR,KBNK.NS,21/12/2000,2000,Equities,National India,India,Indian Rupee,Equity,Banks,Karnataka Bank,Active,"Karnataka Bank Ltd, Ordinary Share, National Stock Exchange of India",INE614B01018,,KTKBANK,4295872615.0,,
South Indian Bank,IN:SIB,SIBK.NS,17/12/1998,1998,Equities,National India,India,Indian Rupee,Equity,Banks,South Indian Bank,Active,"South Indian Bank Ltd, Ordinary Share, National Stock Exchange of India",INE683A01023,,SOUTHBANK,4295873751.0,,
Union Bank of India,IN:UBI,UNBK.NS,24/09/2002,2002,Equities,National India,India,Indian Rupee,Equity,Banks,Union Bank of India,Active,"Union Bank of India Ltd, Ordinary Share, National Stock Exchange of India",INE692A01016,,UNIONBANK,4295872250.0,,
Canara Bank,IN:CKB,CNBK.NS,23/12/2002,2002,Equities,National India,India,Indian Rupee,Equity,Banks,Canara Bank,Active,"Canara Bank Ltd, Ordinary Share, National Stock Exchange of India",INE476A01022,,CANBK,4295872650.0,,
Indian Overseas Bank,IN:IB,IOBK.NS,11/12/2000,2000,Equities,National India,India,Indian Rupee,Equity,Banks,Indian Overseas Bank,Active,"Indian Overseas Bank, Ordinary Share, National Stock Exchange of India",INE565A01014,,IOB,4295874026.0,,
City Union Bank,IN:CU,CTBK.NS,09/09/1998,1998,Equities,National India,India,Indian Rupee,Equity,Banks,City Union Bank,Active,"City Union Bank Ltd, Ordinary Share, National Stock Exchange of India",INE491A01021,,CUB,4295874331.0,,
Dhanlaxmi Bank,IN:DHB,DNBK.NS,12/12/1997,1997,Equities,National India,India,Indian Rupee,Equity,Banks,Dhanlaxmi Bank,Active,"Dhanlaxmi Bank Ltd, Ordinary Share, National Stock Exchange of India",INE680A01011,,DHANBANK,4295874004.0,,
UCO Bank,IN:UCO,UCBK.NS,09/10/2003,2003,Equities,National India,India,Indian Rupee,Equity,Banks,UCO Bank,Active,"UCO Bank, Ordinary Share, National Stock Exchange of India",INE691A01018,6721792,UCOBANK,5051770169.0,,
Bank of Maharashtra,IN:BMH,BMBK.NS,12/04/2004,2004,Equities,National India,India,Indian Rupee,Equity,Banks,Bank of Maharashtra,Active,"Bank of Maharashtra Ltd, Ordinary Share, National Stock Exchange of India",INE457A01014,,MAHABANK,4295873688.0,,
Yes Bank,IN:YEB,YESB.NS,11/07/2005,2005,Equities,National India,India,Indian Rupee,Equity,Banks,Yes Bank,Active,"Yes Bank Ltd, Ordinary Share, National Stock Exchange of India",INE528G01035,,YESBANK,4295873396.0,,
Indusind Bank,IN:IBK,INBK.NS,29/01/1998,1998,Equities,National India,India,Indian Rupee,Equity,Banks,Indusind Bank,Active,"Indusind Bank Ltd, Ordinary Share, National Stock Exchange of India",INE095A01012,,INDUSINDBK,4295873529.0,,
Axis Bank,IN:UTI,AXBK.NS,27/11/1998,1998,Equities,National India,India,Indian Rupee,Equity,Banks,Axis Bank,Active,"Axis Bank Ltd, Ordinary Share, National Stock Exchange of India",INE238A01034,,AXISBANK,4295873131.0,,
Jammu and Kashmir Bank,IN:JAK,JKBK.NS,03/08/1998,1998,Equities,National India,India,Indian Rupee,Equity,Banks,Jammu and Kashmir Bank,Active,"Jammu and Kashmir Bank Ltd, Ordinary Share, National Stock Exchange of India",INE168A01041,BQQF4T7,J&KBANK,4295872178.0,,
Idbi Bank,IN:IDB,IDBI.NS,20/09/1995,1995,Equities,National India,India,Indian Rupee,Equity,Banks,Idbi Bank,Active,"IDBI Bank Ltd, Ordinary Share, National Stock Exchange of India",INE008A01015,,IDBI,4295872698.0,,
HDFC Bank,IN:HFC,HDBK.NS,26/05/1995,1995,Equities,National India,India,Indian Rupee,Equity,Banks,HDFC Bank,Active,"HDFC Bank Ltd, Ordinary Share, National Stock Exchange of India",INE040A01034,,HDFCBANK,4295873232.0,,
Icici Bank,IN:ICG,ICBK.NS,24/09/1997,1997,Equities,National India,India,Indian Rupee,Equity,Banks,Icici Bank,Active,"ICICI Bank Ltd, Ordinary Share, National Stock Exchange of India",INE090A01021,,ICICIBANK,4295873612.0,,
Bank of Baroda,IN:BBR,BOB.NS,24/02/1997,1997,Equities,National India,India,Indian Rupee,Equity,Banks,Bank of Baroda,Active,"Bank of Baroda Ltd, Ordinary Share, National Stock Exchange of India",INE028A01039,,BANKBARODA,4295872847.0,,
Bank of India,IN:BOI,BOI.NS,05/05/1997,1997,Equities,National India,India,Indian Rupee,Equity,Banks,Bank of India,Active,"Bank of India Ltd, Ordinary Share, National Stock Exchange of India",INE084A01016,,BANKINDIA,4295872854.0,,
I F B Agro Industries,IN:IAG,IFBA.NS,13/07/1993,1993,Equities,National India,India,Indian Rupee,Equity,Beverages,I F B Agro Industries,Active,"IFB Agro Industries Ltd, Ordinary Share, National Stock Exchange of India",INE076C01018,,IFBAGRO,4295872733.0,,
G M Breweries,IN:GMB,GMBR.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Beverages,G M Breweries,Active,"G M Breweries Ltd, Ordinary Share, National Stock Exchange of India",INE075D01018,,GMBREW,4295873027.0,,
Tata Consumer Products,IN:TEA,TACN.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Beverages,Tata Consumer Products,Active,"Tata Consumer Products Ltd, Ordinary Share, National Stock Exchange of India",INE192A01025,,TATACONSUM,4295873151.0,,
United Breweries,IN:UBB,UBBW.NS,23/10/2002,2002,Equities,National India,India,Indian Rupee,Equity,Beverages,United Breweries,Active,"United Breweries Ltd, Ordinary Share, National Stock Exchange of India",INE686F01025,,UBL,4295872186.0,,
Radico Khaitan,IN:RKT,RADC.NS,18/09/1991,1991,Equities,National India,India,Indian Rupee,Equity,Beverages,Radico Khaitan,Active,"Radico Khaitan Ltd, Ordinary Share, National Stock Exchange of India",INE944F01028,,RADICO,4295873877.0,,
United Spirits,IN:MLC,UNSP.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Beverages,United Spirits,Active,"United Spirits Ltd, Ordinary Share, National Stock Exchange of India",INE854D01024,,UNITDSPR,4295874156.0,,
Som Distilleries and Breweries,IN:SDW,SDB.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Beverages,Som Distilleries and Breweries,Active,"Som Distilleries and Breweries Ltd, Ordinary Share, National Stock Exchange of India",INE480C01038,,SDBL,4295873044.0,,
Associated Alcohols and Breweries,IN:ALH,ASAL.NS,23/03/1995,1995,Equities,National India,India,Indian Rupee,Equity,Beverages,Associated Alcohols and Breweries,Active,"Associated Alcohols & Breweries Ltd, Ordinary Share, National Stock Exchange of India",INE073G01016,,ASALCBR,4296933483.0,,
Tilaknagar Industries,IN:TK,TILK.NS,31/01/2005,2005,Equities,National India,India,Indian Rupee,Equity,Beverages,Tilaknagar Industries,Active,"Tilaknagar Industries Ltd, Ordinary Share, National Stock Exchange of India",INE133E01013,,TI,4295874255.0,,
Deepak Fertilisers and Petrochemicals,IN:DFP,DPFE.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Chemicals,Deepak Fertilisers and Petrochemicals,Active,"Deepak Fertilisers and Petrochemicals Corp Ltd, Ordinary Share, National Stock Exchange of India",INE501A01019,,DEEPAKFERT,4295873285.0,,
Supreme Petrochemicals,IN:SPP,SPTL.NS,05/05/1994,1994,Equities,National India,India,Indian Rupee,Equity,Chemicals,Supreme Petrochemicals,Active,"Supreme Petrochem Ltd, Ordinary Share, National Stock Exchange of India",INE663A01033,BMFWQD9,SPLPETRO,4295873105.0,,
Poddar Pigments,IN:PDD,PODR.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Chemicals,Poddar Pigments,Active,"Poddar Pigments Ltd, Ordinary Share, National Stock Exchange of India",INE371C01013,,PODDARMENT,4295874046.0,,
Aksharchem India,IN:AUD,AKSH.NS,08/02/2005,2005,Equities,National India,India,Indian Rupee,Equity,Chemicals,Aksharchem India,Active,"Aksharchem (India) Ltd, Ordinary Share, National Stock Exchange of India",INE542B01011,,AKSHARCHEM,4295973529.0,,
Indonesia Amines,IN:IA,INAM.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Chemicals,Indonesia Amines,Active,"Indo Amines Ltd, Ordinary Share, National Stock Exchange of India",INE760F01028,,INDOAMIN,4295973040.0,,
